uuid,entity_type,target_system,target_id,target_version,match_method,verified_by,confidence,updated_at,notes
00173bac-0eef-4d19-be24-a1eacc885982,substation,ajg,kyushu_sub_202@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
0042b02a-eb79-4fea-891e-0fe8d8ebed86,substation,ajg,tohoku_sub_35@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
00e643d9-7248-4491-9089-92c8c615c8d5,substation,ajg,shikoku_sub_5@187,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=187
019f125d-ef81-49ff-a590-4286f8494932,substation,ajg,tokyo_sub_706@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
0305b4e0-7f10-42bf-a122-d1dbf6437be2,substation,ajg,kyushu_sub_14@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
03347097-999a-4800-a97d-b14b94833d6b,substation,ajg,tokyo_sub_159@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
038a47ad-21c0-4ef2-8840-a9c2417ea497,substation,ajg,tokyo_sub_820,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
0437cdc6-3edc-469d-a466-f605baa402c4,substation,ajg,hokuriku_sub_31,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
04a0dc60-80ca-4a48-83ed-2693e5e2bdb7,substation,ajg,tokyo_sub_1765,ajg-v1.6.0,name_t1_national,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=66
04aa8529-9f52-4b7b-9b3e-88774423976a,substation,ajg,tokyo_sub_340@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
05593fa2-e546-450e-9f5c-b591511198f2,substation,ajg,tokyo_sub_626@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
0569f3d0-a724-4882-8070-0819b008ff56,substation,ajg,tohoku_sub_147@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
057d43bf-bf5d-49e4-8ffa-48f567899ff0,substation,ajg,chubu_sub_111@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
058c65b3-d64c-4658-9efc-c5848737bf9c,substation,ajg,tokyo_sub_23,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
05cae69f-5d2c-43ba-88a4-2ef386fb2f3d,substation,ajg,tohoku_sub_58@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
0650d830-44e3-4d55-9174-bdb1fa458e8f,substation,ajg,tokyo_sub_1394@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
066cbb16-79d0-4f74-9caa-ffb229f97bc1,substation,ajg,tohoku_sub_148@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
06ed3dc2-4e0e-454c-8e9d-fc281aa3f653,substation,ajg,chubu_sub_120@500,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=500
07dd996e-a626-4d3f-820d-8bc52336a67e,substation,ajg,chubu_sub_332@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
09a9d654-fe2d-4ddf-9a98-497aa87edb79,substation,ajg,kyushu_sub_47@500,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=500
09b00f7f-e115-4033-86f2-4fb2f13c5655,substation,ajg,chubu_sub_89@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
09ef7c7f-76be-4095-a425-e5db64601796,substation,ajg,tohoku_sub_288@154,ajg-v1.6.0,name_t3_region,,inferred,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
09f71510-b869-4765-95e0-56a93959a35e,substation,ajg,tokyo_sub_687,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=66
0ac2023d-193c-434c-ad55-bfb34e1a9166,substation,ajg,hokkaido_sub_160@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
0b0f2890-9f1a-41ed-9dea-a92442bc65f1,substation,ajg,kyushu_sub_455,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
0c2d856b-8359-412c-bbab-a0cdf49a3d5b,substation,ajg,hokuriku_sub_8,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=500
0d569b24-6d54-434a-9d8e-945375c12f09,substation,ajg,kyushu_sub_636,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
0eb051cb-1239-42c9-b614-94c8760f55de,substation,ajg,tokyo_sub_89@u,ajg-v1.6.0,name_t1_region,,inferred,2026-08-14,AJG audit 2026-08-14; same site; source 275kV matches AJG untyped 275kV layer; previous=tokyo_sub_89@66
0ebbb1e4-ecc7-461c-aee9-a356dda7219c,substation,ajg,tohoku_sub_707@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
4ac2e9f7-af61-402a-8b9c-3eaed56d0538,substation,ajg,tohoku_sub_566@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
0f0052ac-8e22-4470-9929-7e551e81e9a6,substation,ajg,kyushu_sub_459@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
0f2648c6-35c0-46ed-9d4f-3fe792ea8b59,substation,ajg,hokkaido_sub_8@187,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=187
0f38b826-71bc-4d1d-9593-809f66f9cdb3,substation,ajg,shikoku_sub_53@187,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=187
0fcd3144-351d-47f1-b6fe-3909ab4c3d98,substation,ajg,tokyo_sub_1092@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
113050db-f01f-4521-9f3a-fa9d25bdd33c,substation,ajg,kyushu_sub_214@220,ajg-v1.6.0,name_t1_region,,inferred,2026-08-14,AJG audit 2026-08-14; OSM way/304390660 confirms 到津 220/66kV; selected same-site 220kV layer; previous=kyushu_sub_213
11c4e95b-fcb6-4033-b0bd-d926addb50a3,substation,ajg,chubu_sub_865@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
11f2cf54-c52f-466a-aac4-5d6c85b9152f,substation,ajg,tokyo_sub_593,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
12634b78-5593-4be0-a70a-76096bc5605e,substation,ajg,tokyo_sub_135@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
129adad5-8392-4665-8fe1-a5af8d3d95a9,substation,ajg,tohoku_sub_443@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
12d4037d-527e-49c3-a6fa-18e079887a0a,substation,ajg,hokkaido_sub_68@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
13019ca3-4943-4001-8a04-55d60795dc14,substation,ajg,kyushu_sub_58@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
13163b5b-5331-4dd7-b0ef-f5f812b10184,substation,ajg,chubu_sub_929,ajg-v1.6.0,name_t3_region,,inferred,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
13cfd981-c073-4bcf-a84f-2c792108b6fe,substation,ajg,tohoku_sub_279@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-14,AJG audit 2026-08-14; same site; source 154kV layer; previous=tohoku_sub_279@275
13e23403-51c7-49a9-a21c-e3775d366e5f,substation,ajg,chubu_sub_66@154,ajg-v1.6.0,name_t3_national,,inferred,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
150fe35a-6c35-4fbb-96f0-7bad74e6467d,substation,ajg,tokyo_sub_1380@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-14,AJG audit 2026-08-14; same site; source 154kV layer; previous=tokyo_sub_1380@275
1635ec54-b8fd-4e7a-b86e-d32bf75ef461,substation,ajg,chubu_sub_118@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
16c5726b-837a-4050-8281-c68d851b6fe6,substation,ajg,kyushu_sub_80@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
172f6d83-3440-4345-a19b-30c095c98d71,substation,ajg,tokyo_sub_1266@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
17c870f0-d9c9-41f9-ab62-7be36b8499b1,substation,ajg,tokyo_sub_1023@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-14,AJG audit 2026-08-14; same site; source 154kV layer; previous=tokyo_sub_1023@500
1837cccc-b2d9-437e-9343-0388adcd3f54,substation,ajg,tokyo_sub_572,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
1874de81-9355-43de-9846-5f65a7f18ba4,substation,ajg,tohoku_sub_560@500,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=500
18c98bb2-5057-4bfd-a906-4d5a9aa79002,substation,ajg,tokyo_sub_897@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
18caf0e6-c93b-4174-87a4-7fcca78889a7,substation,ajg,tokyo_sub_846@154,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=154
190bc9b7-fb74-41b1-8d07-15796ee58a84,substation,ajg,kyushu_sub_82@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
19cd2c20-b0fb-405e-898e-be5b6476981e,substation,ajg,kyushu_sub_290@220,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=220
1a188738-db36-43b8-8b5b-1440a9218007,substation,ajg,chubu_sub_134@500,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=500
1a279b61-30e6-4734-86c0-1784269b8dfc,substation,ajg,chubu_sub_132@275,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=275
1a2c70b6-123b-4318-93fa-e89cb3c46594,substation,ajg,tokyo_sub_657,ajg-v1.6.0,name_t1_region,,extracted,2026-08-04,crosscheck_ajg 2026-08-04; ajg_kv=66
